SSC-A,F4/80:Fluorescein (FITC),CD11c-biot:Qdot 605,Gr-1:APC,IgD:APC-Cy5.5,CD11b:APC-Cy7,I-Ad:PE,CD5:PE-Cy5,CD19:PE-Cy5.5,IgM:PE-Cy7
0.71229917,0.8270753,0.5171332,0.1729461,0.4545965,0.7938802,0.49843863,0.5013286,0.28910592,0.4614396
0.579369,0.14879726,0.11250295,0.21275346,0.16632606,0.18247989,0.5796545,0.4701838,0.66952676,0.73439926
0.72285336,0.7965633,0.45750368,0.27891544,0.44312555,0.8866694,0.41357794,0.4516891,0.21719907,0.49287242
0.6997321,0.8212675,0.4607084,0.18437564,0.38141513,0.83843917,0.45582092,0.48225576,0.2323873,0.50255585
0.6405455,0.3164169,0.50169677,0.26983777,0.36373878,0.7641267,0.6040978,0.29050335,0.24376354,0.36742258
0.5770477,0.19760759,0.12549143,0.2615959,0.49493292,0.1771393,0.59401596,0.28321767,0.6377444,0.813693
0.5369861,0.15516092,0.19273777,0.24278149,0.17427248,0.1750641,0.4677729,0.33224952,0.64003694,0.7748847
0.55318546,0.17945813,0.041190185,0.24322352,0.44667807,0.21088964,0.46729153,0.39111894,0.6670835,0.62543935
0.5893917,0.30369264,0.5808677,0.24179672,0.2759314,0.6693822,0.52138543,0.24147493,0.25444442,0.21689293
0.57542276,0.1772129,0.14834584,0.24691284,0.23322707,0.23900007,0.6139049,0.28303313,0.6467553,0.7114818
0.5524985,0.18039523,0.13921422,0.1509138,0.18803735,0.23017643,0.18364294,0.6092564,0.20793805,0.29294813
0.51417196,0.15890428,0.1886843,0.27046898,0.37709883,0.19619794,0.43140915,0.11651565,0.5587591,0.54022443
0.54507023,0.15450281,0.19125645,0.24342445,0.5705101,0.24882537,0.49093378,0.210291,0.54399174,0.3808314
0.7164059,0.83178484,0.49125308,0.28095594,0.51717204,0.88618517,0.46857753,0.4893971,0.3601558,0.5965114
0.71600586,0.7888085,0.46467963,0.21579301,0.3991462,0.8141963,0.44124907,0.4456354,0.2717818,0.43817386
0.6896521,0.8432807,0.43144694,0.18087766,0.5480688,0.82379436,0.45283604,0.4798171,0.32460183,0.5381739
0.7053946,0.82409966,0.517551,0.15291724,0.44908217,0.8230633,0.49696296,0.50793225,0.2390489,0.45736682
0.5877817,0.17657426,0.22908334,0.24950722,0.2135221,0.42986608,0.5380879,0.397239,0.6866225,0.68549424
0.6820005,0.79457164,0.507527,0.21980911,0.5431882,0.87905,0.4701865,0.45808935,0.46873534,0.56309956
0.7140028,0.7892542,0.5161894,0.26425642,0.51533026,0.89976996,0.48298427,0.49530393,0.32205054,0.5304395
0.4873308,0.12182893,0.090515085,0.2524933,0.22784497,0.2603495,0.09964796,0.15033107,0.21364293,0.2008731
0.7777998,0.592896,0.33052233,0.29693398,0.27305624,0.5072902,0.3108645,0.23177923,0.21159942,0.051889766
0.5757291,0.13172115,0.14791629,0.23598081,0.23196508,0.25117904,0.54079735,0.44338384,0.6218465,0.7264932
0.54530185,0.15824212,0.18130057,0.2543702,0.48033723,0.1926374,0.52194977,0.20147538,0.5874808,0.63031316
0.55725235,0.111861795,0.41986012,0.22924115,0.16620925,0.49364576,0.5172592,0.34022447,0.72151333,0.7042573
